;The following examples are valid, gray columns will not be imported or taken into account;;;;;;;;;;
;;;;;;;;;;;
Example 1:;John Appleseed;ClubA;;;;;;;;;
;Name Nameson;;;;;;;;;;
;Name Brown;Club B;;;;;;;;;
;Name Nameson;Club A;;;;;;;;;
;;Club C;;;;;;;;;
;(can be without headers if the first column is names and the secondth is Clubs);;;;;;;;;;
;;;;;;;;;;;
Example 2:;Name;Club;Variation 1:;name;club;Variation 2:;Name;club;Variation 3:;name;Club
;John Appleseed;ClubA;;John Appleseed;ClubA;;John Appleseed;ClubA;;John Appleseed;ClubA
;Name Nameson;;;Name Nameson;;;Name Nameson;;;Name Nameson;
;Name Brown;Club B;;Name Brown;Club B;;Name Brown;Club B;;Name Brown;Club B
;Name Nameson;Club A;;Name Nameson;Club A;;Name Nameson;Club A;;Name Nameson;Club A
;;Club C;;;Club C;;;Club C;;;Club C
;(can also consist of headers (first row) can be with any capitalization as long as they don't start or end with a space);;;;;;;;;;
;;;;;;;;;;;
Example 3:;Club;Name;(same variations as Example 2);;;;;;;;
;ClubA;John Appleseed;;;;;;;;;
;;Name Nameson;;;;;;;;;
;Club B;Name Brown;;;;;;;;;
;Club A;Name Nameson;;;;;;;;;
;Club C;;;;;;;;;;
;(the columns can be in any order as long as there's headers);;;;;;;;;;
;;;;;;;;;;;
Example 4:;Name;Club;id;allergies;;;;;;;
;John Appleseed;ClubA;1;Beans;;;;;;;
;Name Nameson;;2;Milk;;;;;;;
;Name Brown;Club B;3;Soy;;;;;;;
;Name Nameson;Club A;4;;;;;;;;
;;Club C;5;;;;;;;;
;(and any order of the headers are allowed, as well as any headers, however name and club must be present);;;;;;;;;;
